Type: Null | Normal | HP:90 ATK:10 DEF:10 SATK:11 SDEF:10 SPD:8 | moves:3 | skills:8 | passives:3
Silvally | Normal | HP:90 ATK:10 DEF:10 SATK:11 SDEF:10 SPD:12 | moves:3 | skills:8 | passives:1
Genesect | Bug/Steel | HP:210 ATK:12 DEF:10 SATK:13 SDEF:10 SPD:12 | moves:3 | skills:3 | passives:3
Mewtwo | Psychic | HP:330 ATK:11 DEF:16 SATK:16 SDEF:16 SPD:13 | moves:5 | skills:5 | passives:7
Mega Mewtwo X | Psychic/Fighting | HP:330 ATK:19 DEF:17 SATK:16 SDEF:17 SPD:13 | moves:3 | skills:0 | passives:0
Mega Mewtwo Y | Psychic | HP:330 ATK:15 DEF:14 SATK:20 SDEF:19 SPD:14 | moves:2 | skills:0 | passives:0
Great Tusk | Ground/Fighting | HP:72 ATK:13 DEF:14 SATK:5 SDEF:5 SPD:9 | moves:4 | skills:3 | passives:2
Brute Bonnet | Grass/Dark | HP:66 ATK:14 DEF:10 SATK:9 SDEF:10 SPD:6 | moves:5 | skills:2 | passives:2
Slither Wing | Bug/Fighting | HP:54 ATK:15 DEF:9 SATK:9 SDEF:11 SPD:8 | moves:4 | skills:5 | passives:2
Roaring Moon | Dragon/Dark | HP:66 ATK:15 DEF:7 SATK:6 SDEF:10 SPD:14 | moves:4 | skills:2 | passives:4
Iron Bundle | Ice/Water | HP:36 ATK:8 DEF:11 SATK:12 SDEF:6 SPD:16 | moves:3 | skills:2 | passives:2
Iron Jugulis | Dark/Flying | HP:54 ATK:8 DEF:9 SATK:12 SDEF:8 SPD:11 | moves:2 | skills:2 | passives:2
Iron Thorns | Rock/Electric | HP:60 ATK:13 DEF:13 SATK:7 SDEF:8 SPD:7 | moves:3 | skills:3 | passives:2
Pheromosa | Bug/Fighting | HP:42 ATK:15 DEF:4 SATK:14 SDEF:4 SPD:17 | moves:5 | skills:2 | passives:2
Kartana | Grass/Steel | HP:36 ATK:20 DEF:13 SATK:6 SDEF:3 SPD:11 | moves:5 | skills:1 | passives:1
Blacephalon | Fire/Ghost | HP:30 ATK:13 DEF:5 SATK:16 SDEF:9 SPD:11 | moves:5 | skills:2 | passives:1
Articuno | Psychic/Flying | HP:108 ATK:9 DEF:9 SATK:13 SDEF:10 SPD:12 | moves:4 | skills:3 | passives:3
Zapdos | Electric/Flying | HP:108 ATK:9 DEF:9 SATK:13 SDEF:9 SPD:12 | moves:5 | skills:3 | passives:4
Moltres | Fire/Flying | HP:108 ATK:10 DEF:9 SATK:13 SDEF:9 SPD:11 | moves:4 | skills:4 | passives:3
Raikou | Electric | HP:108 ATK:10 DEF:8 SATK:13 SDEF:11 SPD:12 | moves:3 | skills:2 | passives:6
Suicune | Water | HP:120 ATK:9 DEF:12 SATK:10 SDEF:13 SPD:9 | moves:3 | skills:1 | passives:5
Tapu Lele | Psychic/Fairy | HP:84 ATK:10 DEF:10 SATK:13 SDEF:12 SPD:10 | moves:3 | skills:3 | passives:4
Tapu Fini | Water/Fairy | HP:84 ATK:8 DEF:13 SATK:10 SDEF:13 SPD:9 | moves:2 | skills:5 | passives:3
Wo-Chien | Dark/Grass | HP:54 ATK:9 DEF:12 SATK:10 SDEF:14 SPD:7 | moves:5 | skills:6 | passives:2
Ting-Lu | Dark/Ground | HP:96 ATK:11 DEF:13 SATK:6 SDEF:10 SPD:5 | moves:5 | skills:4 | passives:2
Cobalion | Steel/Fighting | HP:108 ATK:12 DEF:13 SATK:10 SDEF:7 SPD:11 | moves:5 | skills:2 | passives:4
